Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_s1688dgrad_optimized_f16_256x128_32x2_nhwc_unity_stride_align8,passed,success,dgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f32:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,616595456,26409435136,42,1.92094,298.941,13748.2
1,CUTLASS,conv2d,cutlass_tensorop_s1688wgrad_optimized_f16_256x128_32x2_nhwc_align8,passed,success,wgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f32:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,513867776,26306707456,51,67.7741,7.06135,388.153
1,CUTLASS,conv2d,cutlass_tensorop_s1688dgrad_optimized_f16_256x128_32x2_nhwc_unity_stride_align4,passed,success,dgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f32:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,616595456,26409435136,42,1.8998,302.268,13901.2
1,CUTLASS,conv2d,cutlass_tensorop_s1688wgrad_optimized_f16_256x128_32x2_nhwc_align4,passed,success,wgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f32:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,513867776,26306707456,51,60.6367,7.89252,433.841
1,CUTLASS,conv2d,cutlass_tensorop_s1688dgrad_optimized_f16_256x128_32x2_nhwc_unity_stride_align2,passed,success,dgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f32:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,616595456,26409435136,42,1.75796,326.656,15022.8
1,CUTLASS,conv2d,cutlass_tensorop_s1688wgrad_optimized_f16_256x128_32x2_nhwc_align2,passed,success,wgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f32:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,513867776,26306707456,51,106.292,4.50246,247.494
1,CUTLASS,conv2d,cutlass_tensorop_s1688dgrad_optimized_f16_256x128_32x2_nhwc_unity_stride_align1,passed,success,dgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f32:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,616595456,26409435136,42,5.69929,100.758,4633.81
1,CUTLASS,conv2d,cutlass_tensorop_s1688wgrad_optimized_f16_256x128_32x2_nhwc_align1,passed,success,wgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f32:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,256,128,32,2,4,2,1,16,8,8,75,1024,513867776,26306707456,51,124.769,3.8357,210.843
1,CUTLASS,conv2d,cutlass_tensorop_s1688dgrad_optimized_f16_128x256_32x2_nhwc_unity_stride_align8,passed,success,dgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f32:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,2,2,4,1,16,8,8,75,1024,616595456,26409435136,42,3.16827,181.25,8335.61
1,CUTLASS,conv2d,cutlass_tensorop_s1688wgrad_optimized_f16_128x256_32x2_nhwc_align8,passed,success,wgrad,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f32:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f32,128,256,32,2,2,4,1,16,8,8,75,1024,513867776,26306707456,51,68.1994,7.01731,385.732
