{'n': 256, 'h': 56, 'w': 56, 'c': 64, 'k': 256, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h1688fprop_optimized_64x64_32x2_nhwc_align8 , 1.27336
{'n': 256, 'h': 56, 'w': 56, 'c': 64, 'k': 64, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x64_32x6_nhwc_align8 , 0.503758
{'n': 256, 'h': 56, 'w': 56, 'c': 64, 'k': 64, 'r': 3, 's': 3, 'pad_h': 1, 'pad_w': 1, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align8 , 1.00773
{'n': 256, 'h': 56, 'w': 56, 'c': 256, 'k': 64, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h1688fprop_optimized_128x64_32x2_nhwc_align8 , 1.239
{'n': 256, 'h': 56, 'w': 56, 'c': 256, 'k': 512, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.83303
{'n': 256, 'h': 56, 'w': 56, 'c': 256, 'k': 128, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align8 , 0.383387
{'n': 256, 'h': 28, 'w': 28, 'c': 128, 'k': 128, 'r': 3, 's': 3, 'pad_h': 1, 'pad_w': 1, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.738767
{'n': 256, 'h': 28, 'w': 28, 'c': 128, 'k': 512, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h1688fprop_optimized_128x128_32x2_nhwc_align8 , 0.645711
{'n': 256, 'h': 28, 'w': 28, 'c': 512, 'k': 128, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_64x128_32x6_nhwc_align8 , 0.626168
{'n': 256, 'h': 28, 'w': 28, 'c': 512, 'k': 1024, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.765657
{'n': 256, 'h': 28, 'w': 28, 'c': 512, 'k': 256, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.208832
{'n': 256, 'h': 14, 'w': 14, 'c': 256, 'k': 256, 'r': 3, 's': 3, 'pad_h': 1, 'pad_w': 1, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.735525
{'n': 256, 'h': 14, 'w': 14, 'c': 256, 'k': 1024, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.413128
{'n': 256, 'h': 14, 'w': 14, 'c': 1024, 'k': 256, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.36343
{'n': 256, 'h': 14, 'w': 14, 'c': 1024, 'k': 2048, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.69518
{'n': 256, 'h': 14, 'w': 14, 'c': 1024, 'k': 512, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 2, 'stride_w': 2},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.185082
{'n': 256, 'h': 7, 'w': 7, 'c': 512, 'k': 512, 'r': 3, 's': 3, 'pad_h': 1, 'pad_w': 1, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.729864
{'n': 256, 'h': 7, 'w': 7, 'c': 512, 'k': 2048, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.382068
{'n': 256, 'h': 7, 'w': 7, 'c': 2048, 'k': 512, 'r': 1, 's': 1, 'pad_h': 0, 'pad_w': 0, 'stride_h': 1, 'stride_w': 1},cutlass_tensorop_h16816fprop_optimized_128x128_32x3_nhwc_align8 , 0.354409
