CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances    Average     Minimum    Maximum                                                   Name
 -------  ---------------  ---------  -----------  ---------  ---------  ----------------------------------------------------------------------------------------------------
    20.1       16,942,435        703     24,100.2     17,280     29,407  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
    15.6       13,175,529        603     21,850.0     19,583     25,951  void xmma_cudnn::gemm::kernel<xmma_cudnn::implicit_gemm::dgrad::Kernel_traits<xmma_cudnn::Ampere_hm…
     4.6        3,846,065        101     38,079.9     37,054     45,054  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     4.3        3,612,344        101     35,765.8     34,590     36,606  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     4.0        3,389,417        101     33,558.6     31,998     34,014  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     3.6        3,064,630        101     30,342.9     29,694     30,974  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.6        3,030,612          2  1,515,306.0  1,500,858  1,529,754  void cudnn::cnn::dgrad2d_grouped_direct_kernel<__half, int, __half, float, false, true, 0, 1>(cudnn…
     3.5        2,970,843        101     29,414.3     28,511     30,495  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.4        2,891,641        101     28,630.1     27,967     29,631  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.2        2,697,056        101     26,703.5     25,791     27,774  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.2        2,673,320        101     26,468.5     25,375     27,359  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.1        2,607,014        101     25,812.0     24,799     29,791  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     3.1        2,575,851        101     25,503.5     24,831     26,527  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.0        2,550,671        101     25,254.2     24,671     25,951  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.0        2,545,283        101     25,200.8     24,127     26,015  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.9        2,431,251        101     24,071.8     23,103     24,606  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.7        2,313,910        101     22,910.0     22,015     23,807  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.7        2,277,621        101     22,550.7     21,215     23,583  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.7        2,257,394        101     22,350.4     22,015     22,783  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.6        2,180,412        101     21,588.2     19,967     22,784  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.5        2,111,896        101     20,909.9     19,583     21,599  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.4        2,042,407        101     20,221.9     18,944     21,183  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     0.0           37,661          1     37,661.0     37,661     37,661  ampere_hcudnn_128x128_stridedB_interior_nn_v1
     0.0           18,495          1     18,495.0     18,495     18,495  void cudnn::ops::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cud…
     0.0           18,399          1     18,399.0     18,399     18,399  void cudnn::ops::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cud…
     0.0            2,527          1      2,527.0      2,527      2,527  void cask_cudnn::computeOffsetsKernel<true, false>(cask_cudnn::ComputeOffsetsParams)
     0.0            2,240          1      2,240.0      2,240      2,240  cask_cudnn::computeBOffsetsKernel(cask_cudnn::ComputeBOffsetsParams)
