CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances    Average      Minimum     Maximum                                                    Name
 -------  ---------------  ---------  ------------  ----------  ----------  ----------------------------------------------------------------------------------------------------
    14.5       33,928,674        703      48,262.7      41,409      56,257  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
    13.5       31,741,183        603      52,638.8      49,793      60,225  void xmma_cudnn::gemm::kernel<xmma_cudnn::implicit_gemm::dgrad::Kernel_traits<xmma_cudnn::Ampere_hm…
    10.4       24,312,356          2  12,156,178.0  12,154,242  12,158,114  void cudnn::cnn::dgrad2d_grouped_direct_kernel<__half, int, __half, float, false, true, 0, 3>(cudnn…
     5.6       13,150,515        101     130,203.1     129,409     130,914  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     5.5       12,876,520        101     127,490.3     126,914     128,289  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     5.4       12,560,803        101     124,364.4     123,746     125,250  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.8        8,821,139        101      87,338.0      86,689      87,777  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.6        8,495,990        101      84,118.7      83,394      84,641  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     3.2        7,531,434        101      74,568.7      73,601      84,738  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.2        7,520,453        101      74,459.9      73,728      75,585  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.2        7,458,794        101      73,849.4      73,186      74,657  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     3.2        7,439,549        101      73,658.9      73,248      74,369  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.9        6,903,573        101      68,352.2      67,904      68,929  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.8        6,624,410        101      65,588.2      64,993      66,017  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.8        6,550,014        101      64,851.6      64,033      65,441  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.6        6,152,560        101      60,916.4      60,481      61,793  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.4        5,734,733        101      56,779.5      56,353      57,537  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.3        5,498,953        101      54,445.1      53,632      54,881  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.3        5,498,412        101      54,439.7      54,176      55,201  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.1        4,976,831        101      49,275.6      48,641      50,752  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.1        4,851,008        101      48,029.8      47,425      49,088  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.0        4,626,553        101      45,807.5      43,169      50,944  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     0.5        1,112,335          1   1,112,335.0   1,112,335   1,112,335  void cudnn::detail::dgrad2d_alg1_1_half<__half, 0, 6, 6, 3, 4, 4, false, true>(int, int, int, __hal…
     0.0           21,984          2      10,992.0       3,456      18,528  void cudnn::ops::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cud…
     0.0           17,024          1      17,024.0      17,024      17,024  void cudnn::ops::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cud…
     0.0           10,432          1      10,432.0      10,432      10,432  void cudnn::ops::scalePackedTensor_kernel<__half, float>(long, __half*, float)
