CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances    Average      Minimum     Maximum                                                    Name
 -------  ---------------  ---------  ------------  ----------  ----------  ----------------------------------------------------------------------------------------------------
    19.6       94,412,284        703     134,299.1      99,073     141,443  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     8.0       38,404,004          2  19,202,002.0  18,701,642  19,702,362  void cudnn::cnn::dgrad2d_grouped_direct_kernel<__half, int, __half, float, false, true, 0, 1>(cudnn…
     7.9       38,174,457        603      63,307.6      60,897      67,169  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel<xmma_cudnn::implicit_gemm::strided_dg…
     6.4       30,839,823        101     305,344.8     300,933     308,261  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     4.2       20,206,208        101     200,061.5     197,731     202,531  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     4.2       20,190,623        101     199,907.2     197,219     203,043  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     4.0       19,331,700        101     191,403.0     187,970     194,019  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     3.6       17,271,898        101     171,008.9     169,155     174,371  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.5       17,065,235        101     168,962.7     167,427     170,179  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     3.5       16,958,699        101     167,907.9     165,027     169,954  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.1       15,032,211        101     148,833.8     146,051     152,034  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.8       13,549,113        101     134,149.6     132,002     136,514  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.8       13,468,531        101     133,351.8     131,586     134,818  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.7       13,264,719        101     131,333.9     128,898     134,723  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.7       12,951,344        101     128,231.1     125,122     131,074  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.6       12,580,041        101     124,554.9     121,474     128,098  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.4       11,825,530        101     117,084.5     115,522     119,394  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.4       11,815,616        101     116,986.3     112,161     119,682  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.4       11,672,212        101     115,566.5     114,210     117,505  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.4       11,646,222        101     115,309.1     113,794     117,570  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.4       11,606,462        101     114,915.5     112,961     117,474  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.2       10,824,651        101     107,174.8     105,921     108,322  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.1       10,272,676          1  10,272,676.0  10,272,676  10,272,676  void cudnn::detail::dgrad2d_alg1_1_half<__half, 0, 6, 6, 3, 4, 4, false, true>(int, int, int, __hal…
     0.9        4,484,186        603       7,436.5       7,328       7,873  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_3<xmma_cudnn::implicit_g…
     0.4        1,853,318        603       3,073.5       2,944       3,680  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_1<xmma_cudnn::implicit_g…
     0.3        1,547,519        603       2,566.4       2,432       3,296  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_2<xmma_cudnn::implicit_g…
     0.3        1,489,119        603       2,469.5       2,304       2,912  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_0<xmma_cudnn::implicit_g…
     0.0           63,457          1      63,457.0      63,457      63,457  void cudnn::ops::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cud…
     0.0           34,656          1      34,656.0      34,656      34,656  void cudnn::ops::scalePackedTensor_kernel<__half, float>(long, __half*, float)
     0.0           34,049          1      34,049.0      34,049      34,049  void cudnn::ops::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cud…
