CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances     Average       Minimum      Maximum                                                    Name
 -------  ---------------  ---------  -------------  -----------  -----------  ----------------------------------------------------------------------------------------------------
    20.1    2,813,627,405        703    4,002,314.9    2,886,772    4,418,645  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     8.0    1,125,188,040          2  562,594,020.0  556,082,649  569,105,391  void cudnn::cnn::dgrad2d_grouped_direct_kernel<__half, int, __half, float, false, true, 0, 1>(cudnn…
     6.9      968,076,954        101    9,584,920.3    9,567,357    9,607,001  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     6.9      964,399,377        603    1,599,335.6    1,575,004    1,722,893  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel<xmma_cudnn::implicit_gemm::strided_dg…
     4.5      627,698,593        101    6,214,837.6    6,202,171    6,228,633  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     4.5      627,567,888        101    6,213,543.4    6,207,962    6,218,650  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     4.5      624,756,949        101    6,185,712.4    6,175,806    6,196,987  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.8      531,953,765        101    5,266,869.0    5,260,125    5,273,308  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     3.8      528,267,110        101    5,230,367.4    5,208,226    5,255,421  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.7      524,157,009        101    5,189,673.4    5,177,414    5,202,883  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.7      513,747,976        101    5,086,613.6    5,078,352    5,094,510  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     3.3      461,504,229        101    4,569,348.8    4,530,793    4,598,241  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.0      418,500,219        101    4,143,566.5    4,131,091    4,164,879  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     3.0      417,145,512        101    4,130,153.6    4,124,947    4,135,602  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.6      368,419,153        101    3,647,714.4    3,632,422    3,657,028  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.6      365,159,114        101    3,615,436.8    3,608,585    3,622,055  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.6      364,420,883        101    3,608,127.6    3,601,898    3,616,424  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.6      364,129,647        101    3,605,244.0    3,600,746    3,611,913  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.5      347,173,721        101    3,437,363.6    3,408,126    3,470,167  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.5      344,203,791        101    3,407,958.3    3,395,647    3,435,195  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     2.3      326,503,292        101    3,232,705.9    3,227,440    3,238,383  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock21Implicit…
     2.2      310,538,581        101    3,074,639.4    3,066,560    3,082,624  _ZN7cutlass6KernelINS_4conv6kernel35ImplicitGemmConvolutionStridedDgradINS1_11threadblock22Implicit…
     0.3       43,669,091          1   43,669,091.0   43,669,091   43,669,091  void cudnn::detail::dgrad2d_alg1_1_half<__half, 0, 6, 6, 3, 4, 4, false, true>(int, int, int, __hal…
     0.3       37,115,603        603       61,551.6       57,113       69,561  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_3<xmma_cudnn::implicit_g…
     0.0        2,031,085          1    2,031,085.0    2,031,085    2,031,085  void cudnn::ops::nchwToNhwcKernel<__half, __half, float, false, true, (cudnnKernelDataType_t)0>(cud…
     0.0        1,780,581        603        2,952.9        2,783        3,456  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_1<xmma_cudnn::implicit_g…
     0.0        1,489,770        603        2,470.6        2,303        9,631  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_2<xmma_cudnn::implicit_g…
     0.0        1,448,384        603        2,402.0        2,240        2,816  void xmma_cudnn::implicit_gemm::strided_dgrad_indexed::kernel_helper_stage_0<xmma_cudnn::implicit_g…
     0.0        1,008,727          1    1,008,727.0    1,008,727    1,008,727  void cudnn::ops::nhwcToNchwKernel<__half, __half, float, true, false, (cudnnKernelDataType_t)0>(cud…
     0.0          975,131          1      975,131.0      975,131      975,131  void cudnn::ops::scalePackedTensor_kernel<__half, float>(long, __half*, float)

x
