Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_256x128_32x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,2,4,2,1,16,8,8,75,1024,513835008,26717716480,1.51285,316.32,17660.5
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_256x128_32x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,2,4,2,1,16,8,8,75,1024,513835008,26717716480,1.31464,364.014,20323.2
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_256x128_32x2_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,2,4,2,1,16,8,8,75,1024,513835008,26717716480,1.4807,323.19,18044
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_256x128_32x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,256,128,32,2,4,2,1,16,8,8,75,1024,513835008,26717716480,1.80778,264.714,14779.3
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x256_32x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,2,2,4,1,16,8,8,75,1024,513835008,26717716480,1.28608,372.097,20774.5
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x256_32x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,2,2,4,1,16,8,8,75,1024,513835008,26717716480,1.29019,370.912,20708.4
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x256_32x2_nhwc_align2,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,2,2,4,1,16,8,8,75,1024,513835008,26717716480,1.35027,354.407,19786.9
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x256_32x2_nhwc_align1,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,256,32,2,2,4,1,16,8,8,75,1024,513835008,26717716480,1.71076,279.727,15617.4
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x128_32x2_nhwc_align8,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.27705,374.728,20921.5
1,CUTLASS,conv2d,cutlass_tensorop_h1688fprop_optimized_128x128_32x2_nhwc_align4,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,f16:nhwc,f16:nhwc,f16:nhwc,cross,optimized,1,0,serial,1,none,tensorop,f16,128,128,32,2,2,2,1,16,8,8,75,1024,513835008,26717716480,1.27842,374.325,20899
