Problem,Provider,OperationKind,Operation,Disposition,Status,conv_kind,n,h,w,c,k,r,s,p,q,pad_h,pad_w,stride_h,stride_w,dilation_h,dilation_w,Activation,Filter,Output,conv_mode,iterator_algorithm,alpha,beta,split_k_mode,split_k_slices,eq_gemm_provider,op_class,accum,cta_m,cta_n,cta_k,stages,warps_m,warps_n,warps_k,inst_m,inst_n,inst_k,min_cc,max_cc,Bytes,Flops,Flops/Byte,Runtime,GB/s,GFLOPs
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_256x128_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,256,128,64,2,4,2,1,8,8,16,75,1024,873480192,26717716480,30,2.17375,374.235,12291.1
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_128x256_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,128,256,64,2,2,4,1,8,8,16,75,1024,873480192,26717716480,30,2.17087,374.731,12307.4
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_128x128_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,128,128,64,2,2,2,1,8,8,16,75,1024,873480192,26717716480,30,2.17317,374.334,12294.3
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_64x256_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,64,256,64,2,1,4,1,8,8,16,75,1024,873480192,26717716480,30,2.17228,374.487,12299.4
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_256x64_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,256,64,64,2,4,1,1,8,8,16,75,1024,873480192,26717716480,30,2.1719,374.552,12301.5
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_256x128_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,256,128,64,2,4,2,1,8,8,16,75,1024,873480192,26717716480,30,2.17293,374.376,12295.7
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_128x256_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,128,256,64,2,2,4,1,8,8,16,75,1024,873480192,26717716480,30,2.17433,374.134,12287.8
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_128x128_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,128,128,64,2,2,2,1,8,8,16,75,1024,873480192,26717716480,30,2.17061,374.775,12308.8
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_64x256_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,64,256,64,2,1,4,1,8,8,16,75,1024,873480192,26717716480,30,2.17255,374.441,12297.9
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_256x64_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,256,64,64,2,4,1,1,8,8,16,75,1024,873480192,26717716480,30,2.17187,374.558,12301.7
1,CUTLASS,conv2d,cutlass_tensorop_i8816fprop_optimized_s8_64x128_64x2_nhwc_align16,passed,success,fprop,256,56,56,64,256,1,1,56,56,0,0,1,1,1,1,s8:nhwc,s8:nhwc,s32:nhwc,cross,optimized,1,0,serial,1,none,tensorop,s32,64,128,64,2,2,2,1,8,8,16,75,1024,873480192,26717716480,30,2.16993,374.894,12312.7
