CUDA Kernel Statistics:

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                  Name
 -------  ---------------  ---------  ---------  -------  -------  ----------------------------------------------------------------------------------------------------
    16.5       57,970,820        102  568,341.4  553,475  600,900  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     8.1       28,499,561        816   34,925.9   23,904   48,768  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     7.7       26,877,718        612   43,917.8   42,016   50,336  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     7.3       25,681,778        612   41,963.7   36,800   52,737  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     6.7       23,307,325        612   38,083.9   21,920   50,208  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     5.9       20,761,492        714   29,077.7   15,008   46,881  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     5.6       19,778,451        204   96,953.2   95,329  107,168  tvmgen_default_fused_multiply_add_add_nn_relu_kernel0
     4.6       16,049,597        714   22,478.4   19,040   41,664  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     4.3       15,170,700        306   49,577.5   48,512   51,456  tvmgen_default_fused_multiply_add_add_nn_relu_1_kernel0
     3.6       12,511,973        510   24,533.3   23,584   27,872  tvmgen_default_fused_multiply_add_add_nn_relu_2_kernel0
     3.5       12,296,820        510   24,111.4   23,232   25,889  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     2.8        9,885,573        102   96,917.4   95,680  100,992  tvmgen_default_fused_multiply_add_multiply_add_add_nn_relu_kernel0
     2.7        9,506,820        612   15,534.0   14,048   19,680  tvmgen_default_fused_multiply_add_nn_relu_1_kernel0
     2.6        9,044,601        204   44,336.3   43,264   50,496  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.4        8,309,288        306   27,154.5   26,112   28,864  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock21ImplicitGemmPipeline…
     2.2        7,691,351        204   37,702.7   35,104   40,832  _ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConvolutionINS1_11threadblock22ImplicitGemmMultista…
     1.9        6,641,301        102   65,110.8   63,968   68,641  tvmgen_default_fused_multiply_add_nn_relu_kernel0
     1.7        5,835,236      1,122    5,200.7    4,575    7,328  tvmgen_default_fused_multiply_add_nn_relu_5_kernel0
     1.5        5,085,608        102   49,858.9   49,249   51,840  tvmgen_default_fused_multiply_add_multiply_add_add_nn_relu_1_kernel0
     1.4        4,809,057        102   47,147.6   46,497   48,321  tvmgen_default_fused_nn_max_pool2d_kernel0
     1.2        4,168,427        714    5,838.1    5,088    7,520  tvmgen_default_fused_multiply_add_nn_relu_3_kernel0
     1.0        3,400,415        102   33,337.4   32,481   34,528  tvmgen_default_fused_multiply_add_nn_relu_2_kernel0
     0.7        2,557,198        102   25,070.6   24,576   26,400  tvmgen_default_fused_multiply_add_multiply_add_add_nn_relu_2_kernel0
     0.6        2,189,047        510    4,292.2    3,968    4,896  tvmgen_default_fused_multiply_add_nn_relu_7_kernel0
     0.6        2,086,957        102   20,460.4   19,808   21,856  tvmgen_default_fused_nn_adaptive_avg_pool2d_kernel0
     0.6        1,982,988        102   19,441.1   19,040   21,696  tvmgen_default_fused_cast_layout_transform_kernel0
